target,source,flow
01F2603N,01F0750N,2
01F1802N,01F0664N,11
03F0698S,03F1395S,9
01F0532S,03F1739S,4
01F3525S,01F3525S,1117
01F3696N,01F1839N,19
03F1485S,01F1802S,8
01F2714N,01F2394N,9
01F0182S,01F1839S,1
03F0394S,01F0928S,8
01H0206S,01F2425S,6
03F0559S,01F0681S,44
03F1257N,01F0532N,2
01F1725N,03F0698N,36
03F4021N,01F2089N,2
03F4021N,01F3366N,2
03F3101N,03F2100N,15
03F2152S,01F3185S,14
01H0608N,01F0584N,4
05F0438N,01F1664S,1
01F1839S,03F1633N,1
01F3398N,03F0996N,1
03F2535N,03F0217N,1
01F0980S,01F1465S,45
03F1485S,01F2483S,1
01H0200N,05F0309S,1
01F1123N,03F0021N,2
03F2614N,03F2336S,1
01F2249N,03F0217N,1
01F2483S,01F2674S,44
03F1332S,01F2011S,9
03F0525S,01F3126S,2
01F0509S,01F0256N,1
03F1710N,03F0525N,1
03F0006S,01F1906N,1
01F0750N,03F0136S,1
03F1022N,03F0698N,64
01F2249N,01F1774N,30
03F0006S,01F0467N,1
05F0438N,01F1045S,6
01F0664S,01F1960S,4
03F2840N,01F1292N,1
03F0525S,03F2261S,1
01F0005S,01H0206S,3
03F3670N,03F2985N,15
01F1774N,01F0147N,3
01F0264S,03F0961N,1
01F1389S,01F2089S,7
01H0579S,03F2235S,4
01F3227N,03F0525N,3
01F1664S,01F3590S,2
03F0338N,01F0248S,2
03F3392S,01F3286N,6
05F0287N,05F0001N,18
03F1485S,03F3854S,1
03F2153N,03F1941N,39
03F0447S,03F2614S,3
01F1802S,01F2674S,19
01F0750S,01F1389S,1
03F1485N,01F0005N,2
01F2603N,01F0979N,9
03F0116S,05F0055S,2
03F1944S,03F3916S,2
01F0029S,01F1664S,2
03F3496N,03F2100N,7
03F4021N,03F2923N,2
01H0206S,03F3259S,1
01F2156S,01F3686S,10
03F2614N,03F0150N,1
03F2535N,03F0996N,1
01F3126N,03F3307S,1
01F0532N,01F0376S,1
03F3259S,01F3252S,14
05F0528N,05F0438N,8
01F0950S,01F2089S,1
03F1485S,01F3525S,3
03F1215N,01F0532N,1
03F1944S,01F0233N,2
01F0233N,05F0055S,6
03F0447N,01H0579S,1
03F1332S,03F2261S,2
01F0467S,01F2249S,7
03F2231N,01F1045S,1
01F0928S,03F3743S,3
03F1860S,03F1860N,2
01F0980S,03F1257S,83
01F0750S,03F1651S,5
01F0880N,01F0293N,79
03F2129S,03F2261S,512
03F0447S,01F0928S,4
03F2923N,03F0447N,3
03F0394S,03F2614S,7
01F3366N,03F3743S,5
03F0525S,01F2011S,12
01F2930N,01F0584N,1
03F1022N,01F2674S,1
01H0174N,05F0439S,11
03F2129S,01F3126S,3
01F1774N,01F0339N,67
03F0559S,03F1860S,32
03F0006S,03F0087S,216
01F0061S,03F0783S,2
01F2425N,03F1941N,6
03F1651N,01H0271N,13
01F0509N,01H0200N,144
01F0928S,03F3392S,1
01F0681N,05F0494S,4
01F3525S,03F3854S,8
01F3286N,01F1389N,2
03F0846S,01F2866S,2
01F0029S,01F1045S,3
03A0041S,01H0579S,1
03F0006S,01F0099N,4
01F3252N,03F2614N,2
01F0182S,01F0413S,3
03F2125N,05F0287S,1
03F0846S,03F1215S,7
01F3640N,01F0681N,1
01F1839S,01F2603S,94
01F0578S,01F2827S,1
01H0305S,01F1572S,8
01F3398N,01F1774N,6
01H0206S,03F1161S,3
01F3366N,03F3670S,4
03F1651N,03F1128N,27
03F1860S,01F2089S,54
05F0438N,01F0264S,34
01F3525N,03F3445N,5
03F0698S,01F2674S,1
03F2100N,01F2930S,2
01F2603N,03F1332N,2
01F1572N,03F0498N,1
03F0648S,03F2194S,6
01F3736N,01H0579N,1
03F1944S,01F3398S,1
03F2260N,03F1779N,23
05F0287N,01F0532N,1
01H0271N,01H0447S,1
01F2425S,03F2125N,2
03F3392N,03F2153N,7
03F2194S,03F2709S,2
01F0928N,01F0664N,478
01H0206S,01F0578S,11
01F3185N,03F4232S,5
01F3640N,01F2322N,18
03F0301S,03F0996S,1
01F2322N,03F0140N,1
01F2156N,03F0961N,5
03F2231N,03F2100N,337
01F0293S,01F0750S,18
01F2011N,01F1621N,19
03F1633N,03F0021N,5
03F0996S,01F0584N,8
03F0846S,03F4142S,1
